篇名	作者	页数	关键词	摘要	filename
上海财经大学 学术数据总库、学术展示·共享空间启用仪式暨千村调查展、世界500强企业展开幕式在图书馆举办	石琳琳:40875069|周丽:08480203	2	 	"<正>11月8日下午,上海财经大学学术数据总库、上海财经大学学术展示·共享空间启用仪式暨千村调查展与世界500强企业展开幕式在上海财经大学英贤图书馆举办。活动由上海财经大学副校长刘兰娟主持,上海财经大学党委书记许涛,上海市图书馆学会理事长、上海市图书馆副馆长周德明,中国科学院兰州情报研究所研究员祝忠明,上海凤凰自行车(集团)有限公司副总裁张雅明等校企领导、业界专家出席并致辞。学校科研处、人事处、宣传部、发展规划处、基本建设处、合作发展处、信息化办公室、学生工作处、档案馆、教育基金会、三农研究院、创业学院等职能部处、学院的主要负责人一同出席本次活动。 "	SHGT201904031
复旦大学“印谱虚拟图书馆”（一期）启用	马步青:43726878	1	 	"<正>2019年11月15日,复旦大学""印谱虚拟图书馆""(一期)正式启用。复旦大学党委副书记尹冬梅、香港著名印谱收藏家林章松先生、复旦大学图书馆馆长陈思和以及来自校内外的专家学者代表出席启用仪式。尹冬梅代表学校对林章松先生的慷慨捐赠表示衷心感谢。她表示,复旦大学图书馆将整合相关资源,集中发力,进一步推动印谱文献数据库的建设和利用,为复旦大学的资源建设、文献服务和文化影响添薪续力。林章松、尹冬梅、陈思和共同启动了复旦大学""印谱虚拟图书馆""(一期)。林章松在仪式上致辞, "	SHGT201904032
华东理工大学图书馆 “明德书房·党建共享空间”启用仪式暨“龙之华初之心”主题党课举行	秦婷玉:43726877	1	 	"<正>为庆祝新中国成立70周年,扎实开展""不忘初心、牢记使命""主题教育,落实立德树人根本使命,传承发扬校园文化精神,10月10日下午,华东理工大学图书馆举行""明德书房·党建共享空间""启用仪式,并携手上海市龙华烈士纪念馆开展""龙之华初之心""主题党课。校党委副书记陈麒出席了启用仪式并讲话,会议由图书馆党委副书记、副馆长武亚珍主持。勤奋求实扎根时代沃土,励志明德逐梦星火燎原。在一片热烈掌声中,1986届校友代表王力、校党委组织部常务副部长沈悦萍、图书馆馆长林嘉平3位嘉宾为明德书房正式揭牌。""明德书房·党建共享空间"" "	SHGT201904033
一身黄河水，两度珞珈山——怀念武汉大学信息管理学院的流金岁月		10	 	"<正>我在武汉大学学习、工作近13年。第一段是从1985年到1988年,在武汉大学图书情报学院读硕士,第二段是从1996年到2006年春,先在武汉大学信息管理学院读博士,后留校任教。这是我人生中最美好的两段经历,它不仅铺垫出我学术生涯的底色,也是我取得学术成果的丰获阶段,还是我工作、生活最为心情舒畅的时期,那些铭心刻骨的人和事,经常梦牵魂绕,难以忘怀。 "	SHGT201904005
高校图书馆新馆建设的理念、功能及空间布局――复旦大学图书馆陈思和、应峻访谈		5	 	"<正>陈思和,1954年生于上海,复旦大学资深教授、博士生导师。2005年教育部聘为人文学科长江学者特聘教授,2007年获教育部高等学校国家名师奖,现任复旦大学图书馆馆长,复旦大学校务委员会委员,复旦大学学术委员会委员等,兼任上海市作家协会副主席,中国现代文学学会副会长,中国当代文学学会副会长等。主要研究方向:中国现当代文学史、中外文学比较和当代文学批评等。 "	SHGT201904006
智慧服务背景下图书馆馆员服务创新能力提升的一些思考		3	 	"<正>一、智慧服务背景下图书馆面临的新挑战王世伟先生在《论智慧图书馆的三大特点》一文中提出何为智慧图书馆?并作如下定义:智慧图书馆是以数字化、网络化、智能化的信息技术为基础,以互联、高效、便利为主要特征,以绿色发展和数字惠民为本质追求,是现代图书馆科学发展的理念与实践。智慧图书馆作为未来图书馆的新模式,将成为图书馆创新发展、 "	SHGT201904007
图书馆阅读推广及服务创新案例交流分享会		1	 	"<正>编者按2019年11月6-7日,图书馆阅读推广及服务创新案例交流分享会于上海奉贤区会议中心举行。会议由上海市图书馆学会、上海市奉贤区精神文明建设委员会办公室、上海市奉贤区文化和旅游局、国家图书馆出版社联合主办,奉贤区图书馆承办。会议主题报告部分邀请到中国图书馆学会阅读推广委员会主任、东莞图书馆馆长李东来,上海市图书馆学会秘书长、博士生导师、《图书馆杂志》常务副主编金晓明,深圳宝安区图书馆展览活动中心主任、青少年服务部主任赵艺超,北京大学图 "	SHGT201904008
全民阅读与图书馆阅读推广		3	 	"<正>当今图书馆界的阅读推广热情高涨,图书馆阅读推广和全民阅读的结合越来越紧密。全民阅读是全社会都在做的事情,图书馆界应该如何认识全民阅读,以及如何进行颇有成效的阅读推广,值得每个图书馆人深思。作者从环境、使命、组织、活动、服务、产品、专业等七个方面详细阐述了全民阅读与图书馆阅读推广之间的关系。 "	SHGT201904009
高校图书馆决策支持服务——要点、难点和发展策略		3	 	"<正>一、背景概况与公共图书馆不同的是,为大学提供服务和管理支撑,是高校图书馆本身存在价值的基础。以上海交通大学为例,全面振兴本科教育攻坚战,全面推进新工科、新文科、新农科、新医科""四新建设""等,是本科教育回归初心的重要举措。科研方面,面向国家重大战略需求,要实现从0到1基础研究原创性的重大突破。面对高校内外部环境的诸多变革,图书馆在服务和管理方面,需要作出相应的跟进和调整。 "	SHGT201904010
“领读者”立体阅读推广项目		3	 	"<正>项目负责人:郭晶一、总体思路为弘扬立德树人,价值引领,营造校园阅读氛围,支撑新时代高素质人才培养,助力校区联动、文化交流,上海交通大学图书馆联合校内外相关单位,构建""领读者""立体阅读推广项目,通过系列举措:创设育人平台""领读者""学生阅读推广社团,以阅读促成长;邀请交大名师担任""名师领读者"",以阅读助育人; "	SHGT201904012
中国图书馆学会“2018年阅读推广优秀项目”		1	 	"<正>2019年8月3日,中国图书馆学会公布2018年全民阅读工作有关名单,上海交通大学图书馆《""领读者""立体阅读推广项目》、上海师范大学图书馆《海尚悦读寻梦上海——海派文化阅读推广》、上海交通大学图书馆和安泰经济与管理学院《""交圕·安泰书道计划""——融合创新型大学新生阅读培育项目》三个项目获评""2018年阅读推广优秀项目""。本次评选出的优秀项目,均是在2018年度全民阅读工作中,理念新颖、内容丰富、品牌效应较好的阅读推广活动,对全国各级各类图书馆开展全民阅读活动起到了较好的示范作用。中国图书馆 "	SHGT201904013
海尚悦读 寻梦上海――海派文化阅读推广		3	 	"<正>项目负责人:蔡迎春一、总体思路项目是以""海尚悦读寻梦上海""为主题的系列活动,主要以倡导""深阅读""为目的,围绕""海派文化""开展,让大学生读者通过参与各种阅读活动,体验、理解和感受海派文化的巨大魅力,让海派精神浸融到大学生的行为和举止中。项目在实施过程中,充分利用多种媒介的传播 "	SHGT201904014
交圕·安泰书道计划——融合创新型大学新生阅读培育项目		3	 	"<正>项目负责人:陈幼华一、总体思路在国家和政府倡导的""全民阅读""""立德树人""""一流本科建设""精神的指导下,以高校学科院系育人需求为牵引,基于图书馆阅读推广、信息素养教育工作之优势,借鉴国外高校综合性新生教育计划First-Year Experience(简称FYE)和Common Reading项目将新生教育 "	SHGT201904015
日本一桥大学图书馆阅读推广活动实践及启示	徐璐:43726873	5	 	"<正>一、引言阅读是人类获取知识的主要途径,也是一个国家发展的精神命脉,在知识经济时代,国民阅读能力直接关系到国家竞争力[1]。2014年以来的国务院政府工作报告均提到了""全民阅读"",而2017年的工作报告在表述上将""倡导""变为了""大力推动""[2]。高校图书馆凭借其丰富的文献资源和优越的馆舍环境,成为了推动全民阅读的中坚力量。日本作为亚洲图书馆事 "	SHGT201904017
中国政法大学图书馆阅读推广模式的构建与实践	陈蕊:23226840	5	 	"<正>一、图书馆阅读推广背景1995年,联合国教科文卫组织将每年4月23日命名为""世界阅读日""。2003年,中国图书馆学会将全民阅读工作提上日程并列入年度计划,拉开了中国图书馆界阅读推广序幕。党的十八大以来,政府工作报告和《国家""十二五""时期文化改革发展规划纲要》《国家基本公共服务体系""十二五""规划》等系列报告和规划中多次倡导和开展全民阅读活动。 "	SHGT201904018
多元主体合作视角下图书馆阅读推广案例研究与模型构建	郑敏1:10956608|梁茹2:07521164|俞楠3:32401204	6	 	"<正>一、引言近年来,随着社会各界对阅读推广工作的重视和推动,涌现出不少优秀的实践案例,阅读推广的相关理论也有了进一步发展。从实践层面上看,有研究者借助丰富的案例,对合作开展阅读推广的模式进行了探讨;从理论层面上看,有研究者对阅读推广主体进行了探讨。对合作开展阅读推广模式的研究和对阅读推广主体的研究成为阅读推广领域的两个重要议题。 "	SHGT201904019
高校图书馆中国传统文化阅读推广的实践和思考——以上海高校图书馆为例	张韵:43726872|赵丽辉:07548673	5	 	"<正>在""倡导全民阅读,建设书香社会""的时代潮流下,全面有效地开展阅读推广活动,激发大学生阅读兴趣,营造良好的阅读氛围,已成为高校图书馆工作的核心内容。高校图书馆纷纷推出主题活动类、读者组织类(如读书会、书友会等)、出版物类(如图书推介、书展等)、新媒体推广类(微信、微博、APP等)等各色阅读推广活动,呈现出百花齐放之态势,这其中也包括丰富多彩的中国传统文化阅读推广。 "	SHGT201904020
公共图书馆空间再造成效初探——以上海市徐汇区图书馆为例	张越:43726871	5	 	"<正>在社会转型发展的时代大背景下,作为公共空间的图书馆已不仅仅是一个存储和借阅各种资料的地方,更是一个社交互动、充满灵感和惊喜的场所。图书馆空间再造逐渐受到了越来越多学者的关注,但国内的研究大部分集中在空间再造的相关理论研究以及案例分享,对于空间再造后的空间利用效果、成效评估方面的文章比较少。本文将以上海市徐汇区图书馆为例,对该馆空间再造后的影响和成效进行研究,总结经验,发现问题,为提升公共图书馆空间再造水平,推动图书馆服务创新、功能升 "	SHGT201904021
高校图书馆中文计算机类图书采访质量控制研究	蒋鸿标:10620426	7	 	"<正>计算机类图书属于应用技术类图书,主要包括操作系统、办公应用软件、编程等方面,在学科分类上包括""TP1自动化基础理论""""TP2自动化技术及设备""""TP3计算技术、计算机技术""""TP6射流技术(流控技术)""""TP7遥感技术""""TP8远动技术""等8个一级类目。我国每年出版的计算机类图书品种繁多,如2015、2016、2017年分别为5825、5251、4878种,合计15954种(数据来源于北京人天和广东新华两家书商提供的征订书目,不代表实际出版数量,其中""著""或""编著""类合计8187种; "	SHGT201904022
