篇名	作者	页数	关键词	摘要	filename
“图说庄子”live版互动体验 国学经典共传承		1	 	"<正>谈及庄子,相信大家都不陌生,他的哲学思想体系,被思想学术界尊为""老庄哲学""。代表作寓言《庄子》,名篇《逍遥游》、《齐物论》等,主张""天人合一""、""清静无为""。庄子在中国哲学史上既是一位著名的思想家,同时也是一位杰出的文学家和诗人气质的哲学家。在《庄子》中,文字的汪洋恣肆,意象的雄浑飞越,想象的奇特丰富,每一个寓言故事都深含寓意。蔡志忠的漫画""庄子说""将其洒脱的个性表现的淋漓尽致。而如今,就在同济大学闻学堂, "	SHGT201604017
上海师范大学图书馆第一届“阅读推广月”系列活动		1	 	"<正>2016年11月14日至12月14日,上海师范大学图书馆举办了""阅读推广月""大型系列活动,活动期间,图书馆推出了""书山有路‘寻’为径""、主题书展、音乐文学讲座、英语阅读测试、诺贝尔知识有奖问答、数据库知识有奖问答、数据库推广、""我是最佳小馆员""演讲比赛等一系列参与性互动活动,其中的""蓝思""英语分级阅读主题书展,更是吸引了大批同学参与。""蓝思""英语分级主题书展配套了一系列相关活动。""蓝思测试""以轻松愉快的游戏形式,学生自主 "	SHGT201604018
在华东师大图书馆看书还能健身		1	 	"<正>你想象中的图书馆是怎么样的?足够的书,安宁的环境,很好的阳光,舒适的座椅,单独的讨论区……确实,这些都还不够。在华东师大图书馆,却让你实现了边运动边看书的梦想。神器一:脚踏车阅读桌常泡图书馆的师大学子们突然发现,健身房常有的脚踏车悄悄入驻了图书馆。华东师大闵行校区图书馆3-4楼,每层4台,不用预约,先到先得,学习累了,过去健身阅读区试试吧。有健身器材的地方是图书馆的自由阅读区,采用全新的简 "	SHGT201604019
“大学生经典阅读现状调查”研讨会在同济大学召开		 	 	 	SHGT201604020
上海高校期刊研讨会暨“超星杯”云舟专题创作大赛成功召开		1	 	"<正>2016年12月21日,上海高校图工委联合超星上海分公司举办的上海高校期刊研讨会暨""超星杯""云舟专题创作大赛启动仪式在上海漕河泾万丽酒店隆重召开,来自上海图情界的180余位专家代表到会。上海高校图工委秘书长、上海交通大学图书馆馆长陈进先生为大会致欢迎词,介绍了云舟专题创造大赛的举办工作。随后超星集团期刊发行部经理陈曦女士向与会嘉宾现场展示了""资源+社交""完美融合的超星期刊域出版平台;上海财经 "	SHGT201604021
民国时期图书馆学文献整理出版进展	杜慧平:17251575	5	民国时期; 图书馆学文献; 文献整理; 影印出版;	"对民国时期图书馆学文献进行整理,不仅肩负着保护图书馆学优秀遗产的重任,而且其成果能为图书馆学史、民国文化史、出版史等研究提供重要参考。总结和回顾了对民国时期图书馆学文献整理出版的概况和主要成果,分析了整理出版工作在整理对象、整理形式、整理主体和出版发行者方面的特征。指出民国文献整理出版中存在的问题,包括大量文献尚待整理、缺乏专题性整理成果、缺乏深度标引等。最后提出,未来整理工作需要重视文献普查工作和文献的深加工。 "	SHGT201604005
CASHL华东南地区成员图书馆民国文献收藏与整理状况调查	张春梅:06707971	7	CASHL; 华东南地区成员图书馆; 民国文献;	"CASHL华东南地区成员图书馆有着丰富的民国文献收藏,其中上海地区尤为突出。成员图书馆的馆藏文献数量众多、类别多样、特色明显,为开展文献交流提供了良好的基础。然而文献的整理和保护仍然面临着诸多挑战,重视程度不够、馆藏信息模糊、著录标准不统一等问题极大地限制了民国文献的保护和利用。为此,应加快开展馆际合作、发挥各自优势、形成统一标准推进民国文献的整理工作,以提高民国文献的使用率,使更多的民国文献研究使用者受益。 "	SHGT201604006
民国时期四川民族地区教育文献研究	秦慧:31229406	10	民国; 教育; 文献; 四川; 民族地区;	"近年来民国文献整理工作和学术研究进行得如火如荼,但是综观学界,目前尚未出现民国时期四川民族地区教育文献的专题性研究成果,而这批珍贵教育文献的重要价值有待开发。本文对四川民族地区民国教育文献包括档案、方志、报刊等进行详细介绍,揭示其特点,为学界提供参考。 "	SHGT201604007
特藏资源建设的新思路新理念	汤罡辉:10071956	6	互联网+; 图书馆平台; 服务创新;	"通过编译国外的特藏建设资料,调查国内的特藏建设现状,综合对比后,提出我国特藏资源的四个发展问题。 "	SHGT201604008
高校外文期刊订购历史、现状及对未来的思考	司徒楚楚:36314819	4	联目; 外文期刊; 共建共享;	"文章通过对《全国高校图书馆进口报刊预订联合目录》近10年的数据统计,从学科、核心刊、出版国、语种、出版社、期刊载体变化这几个方面分析了高校外刊订购的历史发展变化与现状;从文献资源共建共享的角度阐述了当前存在与面临的问题,并提出新思考。 "	SHGT201604009
高校图书馆为校园文化建设服务之特色构建——以华东师范大学图书馆为例	胡文华:07528307|王央央:25745082	5	图书馆; 校园文化; 特色; 构建;	"华东师范大学图书馆近年来以传统文化教育为抓手,以倡导""国学""为切入点,举办传统文化系列主题书展,开展国学思想的立体推广,多角度宣扬节日文化,组织文化体验活动,邀请名家进校园,展示传统文化之精华,构建了一系列颇具特色的校园文化建设新举措。 "	SHGT201604010
基于“经典”的阅读推广服务案例研究——以上海大学图书馆阅读推广系列活动为例	张睿媛:36314824|盛兴军:09542952	5	经典阅读; 阅读推广; 上海大学图书馆;	"新媒体时代,经典阅读面临巨大挑战,作为阅读推广的主要场所,大学图书馆在阅读推广方面如何克服障碍,致力于形式、内容、方式方法的不断创新,积极引导,提升师生阅读兴趣。本文以上海大学图书馆在经典阅读推广方面的实践案例为基础,探讨在新的信息环境下,如何开展经典作品的阅读推广创新活动。 "	SHGT201604011
我国高校图书馆在构建创客空间过程中存在的问题及对策	张希胜:08969095|曾小娟:17603526	5	高校图书馆; 创客空间; 问题与对策;	"首先对创客空间概念的缘起及其含义进行揭示,概括了国内外(美国)图书馆创客空间发展现状。分析和总结了当前国内高校图书馆在构建创客空间方面面临的诸多问题和困境,如动力不足、意愿不强,重复建设、资源浪费、运行效益低下,资金缺乏,专业服务团队不足,实力不够,以及物理空间不足等问题。进而针对性地提出了解决这些问题的对策和建议。 "	SHGT201604012
现代图书馆纸质文献服务的SWOT分析——以华东理工大学为例	张莲萍:07534546|周霜菊:07535178|常亚青:07526666	5	现代图书馆; 印刷型文献; 传统图书馆; SWOT; 信息服务;	"网络的兴起,信息载体的变化,现代图书馆形成了印刷型文献和数字型文献平分秋色的格局。在未来,数字文献是否会取代纸质文献,数字图书馆是否会取代传统图书馆等问题已经引起了整个图书馆界的密切关注,那么现状和发展趋势究竟如何就需要做更深入的分析。本文通过本馆的发展状况,利用SWOT分析法,详细论述了纸质文献在现代图书馆发展中的优势、劣势、机遇和挑战。 "	SHGT201604013
李大钊图书馆教育思想探索——以“北京高等师范学校图书馆二周年纪念会演说辞”为例	施欣:33138357	5	李大钊; 图书馆; 教育思想;	"李大钊不仅对马克思主义的中国化贡献卓越,而且对图书馆学亦有一定的思索与钻研。通过李大钊在北京高等师范学校图书馆二周年纪念会上的演说,得以窥探他在图书馆学方面的建树,诸如图书馆和国民教育有密切之关系、古今图书馆功能的异同和中外图书馆的比较、现代图书馆与新式教育与创新教授法的关系、旧式图书馆的弊端和新式图书馆的优势、北大图书馆办馆标准与运行方法的参考与借鉴、开办图书馆专业势在必行、开设图书馆学科责无旁贷。 "	SHGT201604014
试论高校实行教材循环使用及高校图书馆的作用——以福建农林大学的调查为例	王晨:10928287	4	高校; 教材循环使用; 高校图书馆;	"通过发放调查问卷的方式,了解高校学生对教材循环使用话题的了解程度和态度、教材使用情况、处理方式、对参与教材循环活动的想法及他们所关心的问题等,论述高校实行教材循环使用的可行性和必要性、现状、问题的症结及有利条件,并对高校图书馆如何发挥其自身作用提出了一些看法。 "	SHGT201604015
古籍修复档案的分级管理方案	沈喆韡:35277793|喻融:35277791|叶倩如:35277792	5	古籍; 修复档案;	"本文在讨论建立古籍修复档案作用的基础上,简述了复旦大学图书馆古籍部的古籍修复历史,针对本馆修复工作现状,初步设计了符合目前工作及科研需求的古籍修复档案分级管理方案。 "	SHGT201604016
“2016非洲雕刻艺术特展”在同济大学博物馆举行		1	 	"<正>由同济大学博物馆(同济大学图书馆管理)、上海华侨事业发展基金会主办,上海禾龙实业有限公司承办的""2016非洲雕刻艺术同济大学特展"",将于9月20日至10月31日在同济大学博物馆展出,此次展览共展出36套来自非洲十多个国家的雕刻作品。自古以来,非洲的造型艺术,尤其是雕刻艺术以其简洁的线条、夸张变化的造型手法、古朴自然的表现形式以及神 "	SHGT201603001
《莎士比亚·汤显祖逝世四百周年》纪念展在上海戏剧学院图书馆隆重揭幕		1	 	"<正>2016年9月11日下午1点,《莎士比亚·汤显祖逝世四百周年》纪念展在上海戏剧学院图书馆隆重揭幕,本次展览是为第九届上海国际小剧场戏剧展演特辑——2016年莎士比亚戏剧节开幕式活动之一。上海戏剧学院党委书记楼巍,联合国教科文组织国际剧协总干事Tobias,上海戏剧学院副院长宫宝荣、郭宇,上海戏剧学院总会计师张佳春,上海市文联理论研究室主任胡晓军等领导嘉宾参加了揭幕仪式,揭幕式由上海 "	SHGT201603002
“上海图书馆虚拟空间建设创新”研讨会在长宁区图书馆召开		2	 	"<正>2016年9月26日,""上海图书馆虚拟空间建设创新""学术研讨会在长宁区图书馆顺利召开,本次会议由长宁区图书馆主办、超星集团承办,上海高校及公共图书馆相关老师均受邀参加了此次会议。本次会议围绕着图书馆虚拟空间建设与应用的主题,突破了传统的思维定式,以""互联网+""思维和开放的思想,系统地探索了如何建设一个馆员能够随心所 "	SHGT201603003
"在图书馆,我们也做点“空间文化"		1	 	"<正>近年来,华东师大图书馆,以建设点滴""空间文化""为起点,达到营造馆内""文化空间""的大目标。2013年5月闵行校区图书馆""第三空间""建成,2014年中北校区图书馆改造,以其人性化、符合读者多种需求的空间格局、书香与空间、艺术与空间的相互交融而大受读者好评。今年,图书馆又对闵行校区图书馆裙楼一楼报告厅前厅内外区域进行空间 "	SHGT201603004
上海海事大学图书馆举办第八届学生情报高手大赛		1	 	"<正>2016年6月1日,由上海海事大学图书馆主办、图书馆学生管理委员会承办的""第八届SMU学生情报高手大赛""颁奖仪式在图书馆B414室举行。图书馆书记顾亚竹,情报检索课姚中平、陈祥燕、李宝奕三位任课老师及参赛学生出席了颁奖仪式。第八届学生情报高手大赛分初赛、决赛两个阶段进行。初赛于5月18日下午在图书馆A603电子阅览室进行,120余名选手参加比赛。初赛采取笔试形式,以信息检索基础理论知识为考试内容, "	SHGT201603007
科研评价支撑科研管理 知识服务推动行业创新——上海科研管理与情报工作学术研讨会在同济大学圆满召开		1	 	"<正>近年来,随着我国科研事业的繁荣发展,科研管理逐渐走向精细化,各级科研管理部门对学术代表作评价、学者科研能力评估、机构科研成果统计等不同维度的科研评价提出了越来越高的要求,基于大数据分析的情报需求日益旺盛。在此背景下,2016年8月30日,同济大学图书馆与CNKI上海分公司联合举办""CNKI科研管理与情报工作学术研讨会"",会议邀请中国科学文献计量评价研究中心(下文 "	SHGT201603020
首届U21图书馆联盟绾长峰会暨高校图书馆先锋研讨会在上海交大图书馆顺利举办		2	 	"<正>7月4日至5日,为庆祝我校百廿华诞,由上海交通大学图书馆主办的以""张开臂膀,拥抱全球""为主题的""首届U21图书馆联盟馆长峰会暨高校图书馆先锋研讨会""在图书信息大楼举办。共有来自英国、澳大利亚和中国等63所高校的84位图书馆馆长及专家学者参加会议。会议由U21图书馆联盟馆长峰会和高校图书馆先锋研讨会两个分会构 "	SHGT201603021
筑梦青春 驶向深蓝——2016上海海事大学海洋节纪实		2	 	"<正>5月18日至6月15日,上海海事大学图书馆、宣传部、学生处、团委共同主办的2016""海大人文""海洋节隆重举行。本届海洋节主题为""筑梦青春驶向深蓝"",包括绘、创、行、智4个系列8场比赛活动以及2场人文讲坛、1场人文展览、10场海洋主题电影和纪录片放映等系列精品活动。国之重器——参观海巡01舰5月11日,上海海 "	SHGT201603022
"“互联网+”图书馆服务,我们能做些什么?"	王成:08537815	3	互联网+; 图书馆平台; 服务创新;	"""互联网+""是近年来最热的词之一,基于互联网的业态创新对很多传统业态产生了不小的冲击,同样,""互联网+""也必然会推动图书馆的服务创新。本文在回顾图书馆逐步""触网""的基础上,介绍了本校图书馆利用互联网平台为提升服务能力而开发的一些新功能,以及作者对一些相关问题的思考。 "	SHGT201603005
推动军队院校图书馆服务创新转型	章春野:20339461	6	图书馆; 知识服务; 创新;	"对院校教育向任职教育转型,图书馆只有主动创新知识服务才能适应这种变化。文章探讨了任职教育条件下知识信息需求的特点,在与传统的文献信息服务比较研究后,作者认为知识服务是任职教育条件下服务保障的最佳方式。文章就知识服务的具体方式和如何构建知识服务能力进行了阐述。 "	SHGT201603006
论“校园文化”与“文化校园”建设	曾芬钰:14193809	3	校园文化; 文化校园; 大学;	"校园文化是大学发展的灵魂,是一种高层次的文化理念。校园文化具有文化传承、价值导向、人格塑造及文化激励等综合性育人功能。但近年来,我国不少高校教育理念围绕""学生就业""这一功力目标异化大学教育的同时,也异化了校园文化。校园文化的狭隘性、工具性、功利性较为普遍。针对大学校园文化失落或异化,建设大学""文化校园""被适时提出。""文化校园""是""校园文化""的高级形态,包含校园文化的一切因素,是校园文化的理性追求和实践过程。要真正回归大学校园文化的本质,就必须走出狭隘的、表面化的校园文化建设误区,变概念狭窄的""校园文化""为内涵更为宽广的""文化校园""。 "	SHGT201603008
高校图书馆图书剔旧现状分析	李华:08961562	4	高校图书馆; 剔旧; 馆藏建设;	"笔者通过文献调研和访谈的方式,对高校图书馆剔旧工作的现状进行了梳理。文献调研表明,在2009-2014年间,发表在核心期刊上关于剔旧的文献数量处于高峰时段;大部分研究文献关注于馆藏建设与剔旧工作的关联性,剔旧方法的研究较少。从访谈结果看,大部分高校图书馆存在馆藏空间不足的情况,但剔旧图书的数量有一定差异。各高校剔旧的原则均以复本、使用率及学科差异为依据。笔者认为:为了有效开展剔旧工作,应建立长效的馆藏空间布局政策,组建专门的剔旧团队。对于剔旧原则,若馆藏政策为""以用为主"",建议首先以""滞架""时间为测算准则,在""滞架""时间相同的情况下,考虑复本量、学术时效,通过自动化系统的测算,形成剔旧初选清单,再人工复选。若馆藏政策为""以藏为主"",建议建立样本书库或保存本书库,保证种数的齐全。 "	SHGT201603009
ALEPH系统编目模块的应用实践与探索	南春艳:35893680|唐武京:06704277|常然:17542029	7	图书馆管理系统; ALEPH; 编目模块; 应用;	"图书馆集成系统编目模块必须经过优化才能更好地应对外包编目、境外编目等新常态下编目工作的挑战。本文介绍复旦大学图书馆在ALEPH系统编目模块应用服务方面所做的一些改进尝试,并探索增添分类主题标引提示、不同MARC数据的自动转换、OCLC上传服务、编目管理报表自动提取等功能的必要性与可能性。 "	SHGT201603010
高校图书馆民国文献自建数据库调查与分析	段晓林:28234424|蔡迎春:08553780	5	民国文献; 自建数据库; 高校图书馆;	"近年来,高校图书馆充分利用和挖掘自身民国文献馆藏,建成馆藏全文数据库及各具特色的专题数据库,在CALIS、CADAL等的协调和平台支持下,民国文献数据库共享系统的建设,也取得很大的成绩。文章介绍CADAL等项目及全国20余家民国文献馆藏较丰富的高校图书馆数据库建设的基本情况,指出当前高校民国文献数字化存在的问题,并提出对策建议。 "	SHGT201603011
图书馆界的“大数据”——欧盟SCAPE项目工具简述	刘悦如1:17458346|余育仁1:08955294|韦成府2:24914970|郭利敏1:35893681	5	大数据; 数据长期保存; SCAPE项目;	"数字资源长期保存工作,是图书馆在""大数据""领域的一个应用。欧盟FP7资助的SCAPE项目,是一个经实践验证的数字长期保存项目。项目开发的开源软件,能够处理大数量级的数据,解决文字处理、图像数据分析或格式迁移等问题,在Web归档、机构库、大数据的存储、复杂科学文献的存储等多个方面得到应用。本文详细介绍这些软件和应用实例,从中找出可学习和利用之处。 "	SHGT201603012
大学章程视角下的图书馆地位和职能的历史演变探析——以复旦大学为例	郭新超1:06697346|吴云香2:30524598	4	大学章程; 图书馆; 历史演变;	"图书馆是现代化大学的三大标志之一,章程又是大学的""宪法""。从大学章程的视角出发去研究图书馆相关规定,可以看出图书馆在整个学校体系中的地位及其在办学活动中所承担的职能。本文采取历史研究法,以复旦大学自1905年建校以来的章程为研究样本,梳理了图书馆相关规定的演变,并得出如下规律:图书馆在学生学习生活、学校办学活动中的地位不断提高;图书馆职能不断扩大,逐渐成为学术机构的有机组成部分。研究最后对章程完善和图书馆发展提出了建议。 "	SHGT201603013
论图书馆的“不教之教”	张丽英:33480284	4	不教之教; 隐性教育; 图书馆;	"在图书馆的教育功能中,""不教之教""是一种比较特殊的教育形式,强调的是对用户素质的无形陶冶。本文探讨了图书馆""不教之教""的释义,认为其实质上是指隐性教育;并对其作用机制进行了分析总结,即直觉的教育、行动的教育、过程的教育、合作的教育以及榜样的教育,并在此基础上提出了相应的实现途径。 "	SHGT201603014
城乡一体化服务体系中社区图书馆可持续发展研究——以颛桥社区图书馆为例		4	城乡一体化; 社区图书馆; 图书馆服务;	"随着""城乡一体化""战略的实施,加快农村文化建设步伐,促进社区公共图书馆建设与社会职能发挥是一项重要而紧迫的任务。颛桥镇社区图书馆为此做了大量研究和突破,尤其在基础资源建设上进行可持续打造,探索出一条适合城乡一体化社区图书馆发展的服务模式。 "	SHGT201603015
谈谈新馆中的信息共享空间(IC)定位问题——以WTO与全球经济治理资料中心为例	张立秋:35893682	4	新馆建设; 信息共享空间; 全球经济治理; WTO资料中心;	"在现有的世界贸易组织资料中心基础上设计一个纳入全球多边贸易与区域投资贸易两大专题的WTO与全球经济治理资料中心,在新馆建设中实现其作为整合型共享空间的功能,并突出研究型特色,着重对研究人员学术和协作研究提供支持,与未来新馆中的其他信息共享空间和学习共享空间形成互补,共同来满足学校研究性群体和学习性群体的不同需求,构建支持学校人才培养和科学研究的服务环境。 "	SHGT201603016
高校图书馆教学学科服务SWOT分析与策略研究	阳丹1:24541387|张敏2:08969039	4	学科服务; SWOT分析; 高校图书馆;	"国内高校图书馆的学科服务主要关注于科研,相比较而言,国外高校图书馆的学科服务则关注于教学。为了探讨国内高校实施教学学科服务的可行性,本文利用SWOT方法分析了国内高校图书馆实施教学学科服务的优势、劣势、机会、威胁,最后提出了教学学科服务的实施策略。 "	SHGT201603017
高校图书馆员工招聘偏好分析——基于扎根理论的一个探究性研究	王姗姗:32771587	5	图书馆员工; 图书馆招聘; 馆员培养;	"随着信息时代的到来,图书馆馆员招聘趋势越来越值得关注。本文在概述了图书馆招聘趋势重要性的基础之上,结合扎根理论及案例分析法,以上海大学为例,分析大学图书馆员工招聘偏好模型。 "	SHGT201603018
《<陈白阳集十卷附录一卷>校注》补遗	盛兴军:09542952|彭飞:09542858	7	《陈白阳集十卷附录一卷》; 陈白阳; 陈明卿; 勘误;	"现藏北京大学图书馆的明刻本《陈白阳集十卷附录一卷》,系明代著名画家、吴门画派重要人物陈白阳的诗文集。该诗文集由陈白阳五世从孙陈仁锡辑录、编纂并刊行于世。笔者在校订过程中,发现其中存在错讹、遗漏、错收、重收等问题。今逐一列出,以期勘正。 "	SHGT201603019
高雅艺术校园行——上海高校首次联手举办雕塑艺术巡回展		1	 	"<正>为提升大学生文化艺术修养,进一步激发他们的创新、创造、创业活力,由同济大学博物馆等单位主办的""创·艺无极限·2016上海雕塑艺术同济大学特展""暨上海高校巡回展,于4月7日在同济大学博物馆拉开帷幕。这是上海高校第一次联手举办雕塑艺术巡回展,主办方希望把它办成一项重大文化工程。此次特展和随后的巡回展由上海市美术家协会、上海油画雕塑院 "	SHGT201602001
“天堂电影院”在华东师范大学图书馆闵行馆正式运营		1	 	"<正>为丰富师生的业余生活,打造""智慧型""图书馆,华东师范大学图书馆在闵行馆主楼四楼建立拥有高清投影机、7.1DTS解码音响系统等设施的多媒体影视中心。图书馆根据阿根廷诗人博尔赫斯的名言""天堂应该是图书馆的模样"",将电影院命名为""天堂电影院"",希冀通过放 "	SHGT201602002
上海杉达学院图书馆打造信息共享空间 助力学校内涵建设、提倡学生自主学习		1	 	"<正>上海杉达学院图书馆始建于1992年,目前由金海校区图书馆和嘉善校区图书馆组成,实际使用面积达2.24万平方米。至2015年底,全馆文献累计量约121.35万册,其中纸质图书馆藏量为119.24万册,中外文期刊800种,中外文报纸95种,中外文全文、文摘数据库17个,图书馆还接受了香港大学、亚洲基金会、爱德基金会、上海社会科学界联合会及其他国内外友人 "	SHGT201602003
上海立信会计学院图书馆		1	 	"<正>上海立信会计学院图书馆由松江总馆和徐汇分部两部分组成,总面积2.13万平方米,阅览座位2380个,公用电脑214台。目前设有办公室、采编部、流通部、参考咨询部、信息技术部、徐汇分部等6个部门,共有在编员工27名、劳务派遣人员18名。其中,正高1名、副高4名,博士研究生2名、硕士研究生6名。全校各教学、科研单位(学院、部、研究院)均设有资料室,在业务上由图书馆统一管理与指 "	SHGT201602004
“思源阁”——上海交通大学文库		1	 	"<正>上海交通大学走过了一段波澜壮阔的光辉岁月,凝练、积淀了优良的办学传统和深厚的文化底蕴,取得了卓然的学术成就。为了挖掘和传承百廿交大的文化传统,弘扬""求真务实、努力拼搏、敢为人先、与日俱进""的交大精神,图书馆特建上海交通大学文库,名曰""思源阁"",以交大人的学术成果为立足点,借以展现交大的学术发展脉络和交大人的精神特质。 "	SHGT201602005
“高校研究数据管理暨图书馆前沿技术论坛”在上海外国语大学举办		1	 	"<正>2016年5月20日,""治理数据,启迪智能:2016年中国高校研究数据管理暨图书馆前沿技术论坛(IT4L)""在上海外国语大学虹口校区会议中心成功举行。该论坛由中国高校研究数据管理推进工作组、上海市图书馆学会和中国图书馆学会数字图书馆委员会共同主办,由上海外国语大学和复 "	SHGT201602007
“图书馆学实证研究”专题研讨会在上海师范大学图书馆举行		2	 	"<正>5月19日,由上海高校图书情报委员会、《上海高校图书情报工作研究》主办的""图书馆学实证研究""专题研讨会在上海师范大学图书馆举行。上海高校图工委副秘书长、上海交通大学图书馆副馆长林皓明出席开幕式并致辞。上海师范大学图书馆党总支书记陈渊平、副馆长庄雷出席,副馆长蔡迎春主持。来自全市30余所高校图书馆的90多位馆员参加了此次专题会议。上午的讲座嘉宾为南开大学信息资源管理系的徐建华教授。徐教授以《图书馆学研究中的问卷调查 "	SHGT201602013
“馆藏与出版”(2016)研究指南		2	 	"<正>2016年的""馆藏与出版""论坛将继续秉承实证研究方法的传统,探讨如何在当前的文献生产状况下寻找到有价值的文献,并亟待在馆藏建设理论与方法研究领域有新的突破。鉴于前9届众多选题并未获得深入研究,本年度论坛的研究选题是在以往一些选题的基础上, "	SHGT201602017
上海商学院图书馆读书节隆重开幕		1	 	"<正>又是一年春风送暖,又是一季杨柳吐翠。4月19日,上海商学院图文信息楼大厅和门前广场内人头攒动,以""阅读点亮人生、艺术陶冶生活""为主题的读书节在这里正式拉开帷幕。本次读书节由校图书馆、校宣传部、校团委和校工会联合举办,同方知网、超星、新东方、森途教育、锐思金融数据库等20余家企业参展。上午,各参展单位组织开展了形式多样的宣传和抽奖活动,广大师生积极参与:下午读书节开幕仪式隆重举行,校团委书记张冰老师以""书香校园""为主题做了简洁生动的讲演,联诚公司杜总经理总结了 "	SHGT201602022
百廿书香:共襄学在交大的阅读时光——图书馆4·23世界读书日系列活动开幕		1	 	"<正>阅读,是生命隽永的乐趣,永恒的动力。第21个世界读书日欣逢交大百廿华诞,上海交通大学图书馆响应李克强总理""让全民阅读成为一种氛围,无处不在""的口号,以""百廿书香:共襄学在交大的阅读时光""为主题,提出""学在交大,让阅读成为我们的行动自觉""的口号。希望通过系列活动,吹起书香校园的春风。活动开幕式于2015年4月22日下午在图书馆主馆一楼大厅举行。校领导,教学名师代表,阅读推广使者 "	SHGT201602023
品读温暖 阅读人生——复旦大学图书馆举办专场品读会		1	 	"<正>2016年5月4日下午,复旦大学第四届读书节系列活动之一,""品读温暖,阅读人生——王苏品读会""在学校工会多功能厅举行。王苏老师是上海戏剧学院表演系导师,曾参加过多次世界知名作家的作品朗诵会,并担任过十余部热门影视剧作品的配音演员。她以自己深厚的专业功底和动人的嗓音,为读者们带来了一场极富听觉享 "	SHGT201602024
上海海事大学举办2016“海大人文”读书节		1	 	"<正>由上海海事大学图书馆、宣传部、团委、学生处联合主办,相关学院及学生社团、图书馆学生社团承办的2016""海大人文""读书节于4月1日至27日顺利举行。4月1日下午,读书节在图书馆大厅正式启幕。副校长施欣致开幕词,他从读书节的价值、内容及学生参与面三个角度肯定了""海大人文""之所以成为学校绚丽品牌的意义所在。鼓励大家积极参与读书节活动,希望 "	SHGT201602025
智能新技术点亮天华学院图书馆		1	 	"<正>上海师范大学天华学院图书馆新馆于2015年正式启用,目前,已经成为民办院校图书馆中一颗耀眼的新星。现有馆舍面积12500余平方米,阅览座位1200个,120台电脑可供读者使用。配置了6个研讨室、大空间的休闲区、多功能报告厅和儿童教育发展共享区,供读者进行信息交流互动;全馆采用远望谷RFID技术,实现自助借还、定位检索、密集存贮;实行自动化管理,读者可以全天24小时在网上检索、预约、续借图 "	SHGT201602026
面对数字阅读挑战的大学生经典阅读推广模式探究	王群:33257826	6	大学生; 经典阅读; 阅读推广;	"文章分析了新媒体时代深度阅读所面临的挑战,通过对高校大学生经典阅读情况展开调查及进行结果分析,提出在大学生中开展经典阅读的引导尤为必要,并从阅读理念建设,空间环境营造,经典内容选择和推广载体四个方面进行经典阅读的推广研究。 "	SHGT201602006
国外科学数据管理政策的调查与分析	何青芳:10722169	5	科学数据; 科研数据; 数据管理; 数据共享; 数据政策;	"采用文献调研、网站调查和内容分析法,从类型及内容两个方面对英国、美国和澳大利亚三个国家的科学数据管理政策的发展历程和核心要素进行了分析,研究各层级政策之间的相互关系和内容要素。英、美、澳三个国家已经建立在内容上相互支撑的比较完善的科学数据管理与共享政策,为科学数据管理提供保障。我国要加速对科学数据的管理与共享进程,关键是自上而下建立完善的科学数据管理政策体系。 "	SHGT201602008
在刚性考核中的柔性管理实践与思考——以上海海洋大学图书馆为例	徐谦:28454503|吴开军:24151003	3	图书馆管理; 柔性管理; 目标责任制;	"目标责任制的实行使图书馆的管理充满了刚性色彩,通过对实施柔性管理中几个管理思路转变的分析,以上海海洋大学图书馆为例,介绍了对坐班进行弹性管理、对考核目标进行分类指导和对管理重心进行下移等具体的柔性管理实践。 "	SHGT201602009
基于ISI Web of Knowledge平台的纺织类高校纺织学科发展研究	尚珊珊:32281806|王兴旺:22233905|杨寅华:09581263|张欣:08562039|徐秀秀:28806585	5	ISI Web of Knowledge平台; 纺织类高校; 科研能力; 学科发展;	"以ISI Web of Knowledge平台为数据源,检索2009-2014年东华大学、武汉纺织大学、西安工程大学、江南大学、苏州大学、浙江理工大学、天津工业大学七所具有代表性的纺织专业类高校发表的纺织类论文数量,并根据论文的引用频次、分布情况和高频关键词,对以上各高校的研究方向进行了分析,为纺织学科发展提供借鉴依据。 "	SHGT201602010
社会科学情报研究设计的结构化路径	张骏:21542838	6	研究设计; 社会科学情报研究; 结构化;	"在情报研究领域,研究设计一直受到忽视,却是研究方法论的重要问题之一。社科情报研究中的研究设计,必须贯彻结构化的重要原则,对研究设计中的研究目的、问题和内容领域、方法和成果形式和研究效度等各个要素的互相关联、互相制约和作用进行综合分析,并充分考虑研究者的经历、经验和研究积累,社会背景和环境,问题领域的现状和范式,可获得的资源等背景因素的制约和作用。 "	SHGT201602011
大数据背景下高校图书馆的生态重构	李新亮:35277788|徐家毅:35277789|张建华:09622576	4	大数据; 高校图书馆; 生态重构;	"随着互联网技术的发展,""大数据""对作为信息技术主要应用场所的图书馆提出了生态体系重构的要求,本文从高校图书馆的发展理念、资源、平台、服务、馆舍、架构等方面提出了重构高校图书馆生态体系的设想。 "	SHGT201602012
浅析微信在上海市各高校图书馆的应用及建议	林用武:35277790|王慧:23317041	3	微信服务平台; 移动图书馆; 高校图书馆;	"图书馆微信服务平台作为移动图书馆的重要组成部分,其普及程度、服务质量和关注度对高校移动图书馆的长远发展有着举足轻重的影响。本文对2015年度上海市37所本科高校图书馆微信服务平台的开通情况、功能模块设置及阅读量等进行调研,分析了微信平台在上海市各高校的应用情况并提出了推广建议。 "	SHGT201602014
