机器翻译系统的若干方案基础问题,耿立大:09559524|,8,,机器翻译是图书情报现代化研究的新领域之一，如日本的第三代电子翻译机，储存有２５００个英文单词，５０００个日文单词，３００条成语，能进行日英互译。美国ＳＹＳＴＲＡＮ翻译规则系统能把俄、法、德语译为英语；苏黎士大学系统则在６分钟内把３万字俄文译为英文，译文质量符合情报需要；法国的纺织情报处理系统（ ＴＩＴＵＳ） 还能用法、英、德、 西班牙文四种语言进行人机对话；而近年的《现代化图书馆》和《Ｊｏｕｒ“ｏｆＤｏｃｕｍｅｎｔａｔｉｏｎ》等杂志上也发表了有关论文。我国的机器翻译正在一些单位进行研究，发表下文，望引起这方面的学术讨论！,XDTQ198103004
加快我国计算机检索的步伐,张振宜:09586555|徐向辉:09586563|,5,,,XDTQ198103005
国外图书馆图书流通的自动化,陈淑娇|陈桂馨:|,4,,,XDTQ198103006
数据结构和管理(五),伊凡·弗劳利斯|李乐天|路学|立勤:|,12,,,XDTQ198103007
联机情报检索技术的现状和发展动向,曾民族:12175803|,5,,,XDTQ198104000
索引顺序文件初探,贺玲勇:20619914|,7,,,XDTQ198104002
计算机出纳管理中使用架位号和开架阅览室中使用色标问题──图书馆现代化探索──,叶云鹏:21303834|李连生:21416325|,6,,,XDTQ198104003
美国现代图书馆学情报学教育概况,阎守礼:09961428|,11,,我国图书情报工作的现代化，目前存在的突出问题是人才匮缺，特别是现代图书馆学情报学方面的高级人才更为缺乏。对人才的培养要从基础作起，首先要从学校培养作起，下文介绍美国有关教育的一些情况，可供我国有关大专院校和图书情报单位参考。,XDTQ198104004
书目管理检索系统(SSS),朱翠娣:10356022|,5,,,XDTQ198104005
日本联机情报检索系统JOIS-Ⅱ介绍,福岛勋|邵洪泽:|,6,,,XDTQ198104006
数据结构和管理(五)续,伊凡·弗劳利斯|李天乐|路学|立勤:|,11,,,XDTQ198104007
资料:美国PDP—11计算机系统的环境要求,梁益庆:|,3,,,XDTQ198104008
辽宁省召开“图书馆现代化”科学讨论会,张振宜:|,2,,,XDTQ198104010
公共图书馆联机情报服务的国际会议,捷鉴:|,2,,,XDTQ198104012
引进MARC磁带的首次应用,安淑兰:|,1,,,XDTQ198104013
论机编西文新书联合通报──图书馆界走向自动化的理想途径,陈源蒸:06260064|,5,,,XDTQ198201000
电子计算机与文献分类,侯汉清:06262744|黄刚:02919338|,10,,,XDTQ198201001
B6810机的联机情报检索系统,戚志峰:16493513|,12,,,XDTQ198201003
《SPIN》磁带定题情报检索试验,胡欣德:09641909|苑玉兰:17008544|,7,,,XDTQ198201004
DIALOG联机检索系统第6文档和第8文档的使用与分析,陈祖华:20149924|,8,,,XDTQ198201005
数据结构和管理(六)续,伊凡·费劳利斯|李乐天|立勤:|,16,,,XDTQ198201006
《会议论文索引》文献数据库简介,张希轩:|,4,,在情报检索领域中，文献数据库（或称之为磁带文献）是提供情报检索服务的新型情报源。近１０年来，一些国家，特别是美国，其发展异常迅速。如美国洛克希德公司的《ＤＩＡＬ》系统，现已拥有１２０多个数据库，向全世界５０多个国家提供服务，是目前世界上拥有数据库最多的情报检索系统。 我国现已引进２０几种文献数据库，进行情报检索，为进一步提高检索效果，更好地为用户服务，本刊将对我国已引进的数据库分别加以介绍。,XDTQ198201007
